X,Y,Distancia,Angulo
17,148,140.42791745233566,169.3302171955033
39,205,142.63590010933433,144.41562639154034
46,220,146.57762448614045,138.04184215661837
50,202,132.00378782444085,142.6960517220166
52,186,121.26417442921878,148.14486761755074
68,157,93.77632963600144,158.0851336728083
69,221,131.13733259449805,130.98041751216255
79,129,76.32168761236873,174.7376046004049
80,19,127.41271522104849,-126.06043499684849
91,218,115.37764081484765,123.69006752597979
92,249,141.76741515595182,116.38430799266898
97,134,59.22837157984339,168.31063082456083
111,115,44.553338819890925,-170.96051719664487
115,227,112.36102527122117,110.85445803957835
120,206,91.0,112.61986494804043
121,114,34.92849839314596,-166.75948008481282
127,190,73.53910524340094,112.38013505195958
141,169,49.040799340956916,106.58733855692742
143,199,77.92945527847606,98.85795876362836
144,90,33.83784863137726,-108.97040780848656
148,42,80.30566605165541,-95.00064459755843
150,248,126.09916732476864,92.27244973278295
151,181,59.135437767890075,93.87852450284771
166,88,35.73513677041127,-72.07208023799276
179,79,49.24428900898052,-60.832386620422206
192,163,55.226805085936306,47.93567344642118
200,32,100.62305898749054,-63.43494882292201
201,233,120.15406776301833,67.49017802711278
213,28,110.45361017187261,-58.32453126189079
218,138,65.0,14.250032697803595
231,115,76.32168761236873,-5.2623953995951185
233,229,132.41223508422476,53.90900001194163
235,219,125.73384588089239,50.48615642500431
239,181,102.6498904042279,35.08347387909274
243,139,89.62700485902673,10.933816785755786
263,147,110.85576214162258,13.033356325913843
266,75,120.5404496424333,-22.948937280923275
273,27,151.48927354766738,-38.837011130884434
276,147,123.5556554755791,11.673710312884788
286,75,139.17614738165446,-19.736901495500884
291,202,157.78466338652817,30.46554491945988
295,68,150.05332385522155,-21.0923395058275
312,236,194.02319448973105,35.98395105198978
322,150,169.33103672983285,9.51794916094876
334,114,179.17868176767013,-2.5590023176994365
336,164,185.80904176062046,13.063954127386307
336,181,190.37331745809337,18.054251571495247
17,157,142.36923825040296,165.7685416843574
62,55,114.62111498323509,-144.22988624372772
91,257,149.40214188558343,115.36441719555296
153,52,70.02856560004639,-91.63657704161672
183,182,66.2117814289874,64.98310652189998
211,64,80.62257748298549,-46.005086005254185
256,48,125.2078272313676,-36.229236717267845
